id;nome;viagens;diarias;passagens;total;exterior
br-p-marcia-helena-goncalves-rollemberg;Márcia Helena Gonçalves Rollemberg;14;26800,44;60753,72;87554,16;1
br-p-marcos-alves-de-souza;Marcos Alves de Souza;7;10668,16;13047,61;23715,77;1
br-p-claudia-sousa-leitao;Claudia Sousa Leitão;17;37785,73;96001,25;133786,98;1
br-p-thiago-rocha-leandro;Thiago Rocha Leandro;24;20730,18;115741,88;136472,06;0
br-p-joelma-oliveira-gonzaga;Joelma Oliveira Gonzaga;17;75635,67;161404,90;237040,57;4
br-p-gilson-alves-de-almeida-junior;Gilson Alves de Almeida Júnior;5;3155,00;6444,82;9599,82;0
br-p-cinara-wagner-fredo;Cinara Wagner Fredo;12;17155,39;50230,32;67385,71;1
br-p-rodolfo-de-carvalho-cabral;Rodolfo de Carvalho Cabral;10;27625,22;126388,80;154014,02;1
br-p-gregorio-durlo-grisa;Gregório Durlo Grisa;22;29888,91;119305,37;149194,28;1
br-p-katia-helena-serafina-cruz-schweickardt;Kátia Helena Serafina Cruz Schweickardt;21;44527,42;228020,60;272548,02;3
br-p-marcelo-bregagnoli;Marcelo Bregagnoli;27;26138,39;133630,83;159769,22;0
br-p-marcus-vinicius-david;Marcus Vinicius David;23;23008,73;98813,97;121822,70;0
br-p-evanio-antonio-de-araujo-junior;Evânio Antônio de Araújo Júnior;4;17779,09;94519,13;112298,22;1
br-p-marta-wendel-abramo;Marta Wendel Abramo;3;2598,91;23402,23;26001,14;0
br-p-rogerio-ceron-de-oliveira;Rogério Ceron de Oliveira;12;9881,79;40137,28;50019,07;0
br-p-mathias-jourdain-de-alencastro;Mathias Jourdain de Alencastro;10;57886,54;414870,56;472757,10;6
br-p-daniele-correa-cardoso;Daniele Correa Cardoso;8;6530,63;13347,54;19878,17;1
br-p-cilair-rodrigues-de-abreu;Cilair Rodrigues de Abreu;2;11939,58;20863,49;32803,07;1
br-p-francisco-gaetani;Francisco Gaetani;10;17052,29;74356,52;91408,81;2
br-p-elisa-vieira-leonel;Elisa Vieira Leonel;7;16116,41;79833,19;95949,60;1
br-p-roberto-seara-machado-pojo-rego;Roberto Seara Machado Pojo Rego;4;5051,05;7667,81;12718,86;0
br-p-rogerio-souza-mascarenhas;Rogério Souza Mascarenhas;9;27041,43;169126,43;196167,86;3
br-p-jose-lopez-feijoo;Jose Lopez Feijóo;4;24151,88;70850,41;95002,29;2
br-p-isabela-gomes-gebrim;Isabela Gomes Gebrim;4;10493,89;24489,01;34982,90;1
br-p-carolina-gabas-stuchi;Carolina Gabas Stuchi;8;14371,67;70396,33;84768,00;1
br-p-barbara-oliveira-souza;Bárbara Oliveira Souza;4;4436,32;21315,63;25751,95;0
br-p-ronaldo-dos-santos;Ronaldo dos Santos;28;46703,19;84008,72;130711,91;1
br-p-tiago-santana-da-conceicao;Tiago Santana da Conceição;11;32379,62;60034,17;92413,79;1
br-p-valder-ribeiro-de-moura;Valder Ribeiro de Moura;8;14407,51;31855,04;46262,55;0
br-p-eduardo-correa-tavares;Eduardo Corrêa Tavares;16;18949,62;62998,31;81947,93;2
br-p-edgar-batista-de-azevedo-caetano;Edgar Batista de Azevedo Caetano;6;7854,28;29013,10;36867,38;0
br-p-giuseppe-serra-seca-vieira;Giuseppe Serra Seca Vieira;20;38905,48;117421,40;156326,88;1
br-p-ademar-borges-de-sousa-filho;Ademar Borges de Sousa Filho;2;782,41;13587,67;14370,08;0
br-p-sheila-santana-de-carvalho;Sheila Santana de Carvalho;24;30524,50;164372,31;194896,81;2
br-p-paulo-eduardo-garrido-modesto;Paulo Eduardo Garrido Modesto;2;1688,86;7346,03;9034,89;0
br-p-victor-oliveira-fernandes;Victor Oliveira Fernandes;6;12667,87;31500,63;44168,50;1
br-p-maria-rosa-guimaraes-loula;Maria Rosa Guimarães Loula;10;53108,50;199993,49;253101,99;5
br-p-marta-rodriguez-de-assis-machado;Marta Rodriguez de Assis Machado;7;4198,59;21533,96;25732,55;0
br-p-francisco-lucas-costa-veloso;Francisco Lucas Costa Veloso;19;17745,10;113672,94;131418,04;0
br-p-ricardo-morishita-wada;Ricardo Morishita Wada;11;8438,76;29901,35;38340,11;1
br-p-lazaro-medeiros-viana-da-costa;Lázaro Medeiros Viana da Costa;15;52257,05;140120,23;192377,28;1
br-p-fernanda-gomes-de-paula;Fernanda Gomes de Paula;10;29794,85;55264,23;85059,08;1
br-p-carolina-rodrigues-da-costa-doria;Carolina Rodrigues da Costa Doria;11;55417,80;65755,17;121172,97;4
br-p-felipe-cavalcante-e-silva;Felipe Cavalcante e Silva;5;19041,46;32738,58;51780,04;1
br-p-benedito-adalberto-brunca;Benedito Adalberto Brunca;9;14733,15;55220,56;69953,71;1
br-p-paulo-roberto-dos-santos-pinto;Paulo Roberto dos Santos Pinto;21;19834,36;109136,89;128971,25;0
br-p-adriano-massuda;Adriano Massuda;30;77311,61;208586,79;285898,40;3
br-p-mozart-julio-tabosa-sales;Mozart Julio Tabosa Sales;26;24666,96;173442,32;198109,28;0
br-p-ana-luiza-ferreira-rodrigues-caldas;Ana Luiza Ferreira Rodrigues Caldas;21;47138,28;249131,21;296269,49;3
br-p-fernanda-de-negri;Fernanda De Negri;29;36217,05;270552,02;306769,07;2
br-p-felipe-proenco-de-oliveira;Felipe Proenço De Oliveira;42;68358,24;336726,07;405084,31;3
br-p-maria-lucilene-martins-santos;Maria Lucilene Martins Santos;27;38429,90;133322,74;171752,64;0
